Name,OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,objID,ra,dec,run,rerun,camcol,field,type,dered_g,dered_r,dered_i,deVAB_i,expAB_i,lnLExp_i,lnLDeV_i,lnLStar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
A0,587727178986356823,00:00:00.41,-10:22:25.7,59,0.61,0.034,0.0,0.153,0.153,0.051,0.18600000000000003,0.61,0.18600000000000003,0,0,1,587727178986356823,0.00171492,-10.37380123,1729,40,3,83,GALAXY,18.172933999999998,17.092245000000002,16.646692,0.716727,0.7212810000000001,-457.57861299999996,-16.894369,-3183.36377,7.478914,2.654277,14.637464000000001,2.4091810000000002,0.683435
A1,587727227300741210,00:00:00.74,-09:13:20.2,18,0.611,0.0,0.16699999999999998,0.222,0.0,0.0,0.389,0.203,0.797,1,0,0,587727227300741210,0.0030898,-9.22228968,1740,40,5,22,GALAXY,17.870296,17.139402,16.753517000000002,0.48640200000000006,0.531316,-34.642078000000005,-205.182571,-4569.33789,5.956697,2.561271,42.203449,2.362853,1.649344
A2,587727225153257596,00:00:01.03,-10:56:48.0,68,0.735,0.028999999999999998,0.0,0.147,0.07400000000000001,0.015,0.17600000000000002,0.43200000000000005,0.428,0,0,1,587727225153258118,0.00192337,-10.95005599,1740,40,1,22,GALAXY,22.277287,21.497944,21.137159,0.602995,0.789641,-0.010133,-0.020631,-0.126871,1.964262,1.241675,18.678995,2.2549240000000004,-0.038672000000000005
A3,587730774962536596,00:00:01.38,+15:30:35.3,52,0.885,0.019,0.0,0.057999999999999996,0.019,0.019,0.077,0.885,0.077,0,1,0,587730774962536881,359.99907404,15.50957006,2566,40,5,309,GALAXY,22.421926000000003,21.425528,20.842289,0.090974,0.159385,-0.253729,-0.25590300000000005,-1.298047,1.80742,1.064388,8.014213,1.971248,-0.046332
A4,587731186203885750,00:00:01.55,-00:05:33.3,59,0.7120000000000001,0.0,0.0,0.22,0.068,0.0,0.22,0.64,0.29,0,0,1,587731186203886273,359.99679413,-0.09331653,2662,40,3,282,GALAXY,23.878498,21.573294,20.405378,0.342316,0.47095600000000004,-0.30533000000000005,-0.464095,-2.5453259999999998,1.621685,0.7715770000000001,5.204635,1.909517,-0.066704
A5,587727180060098638,00:00:01.57,-09:29:40.3,28,0.857,0.0,0.036000000000000004,0.0,0.107,0.0,0.036000000000000004,0.83,0.06,0,0,1,587727180060098847,4.087e-05,-9.49008858,1729,40,5,83,GALAXY,22.099087,21.179382,20.267467,0.096716,0.058272000000000004,-1.858225,-1.874411,-1.455717,0.723104,0.48622,3.3803330000000003,1.838581,0.004814602
A8,587730775499407375,00:00:02.10,+15:52:54.2,62,0.355,0.016,0.21,0.32299999999999995,0.0,0.09699999999999999,0.5479999999999999,0.355,0.5479999999999999,0,0,1,587730775499407805,0.000586,15.88157809,2566,40,6,309,GALAXY,22.075459,21.552485,21.432326999999997,0.18448900000000001,0.05,-0.025983,-0.043587,-0.10570399999999999,1.273662,0.759983,-6.775060000000001,1.092371,-0.038129
A9,587727221950382424,00:00:02.41,+14:49:19.0,31,0.484,0.129,0.065,0.258,0.065,0.0,0.452,0.109,0.789,1,0,0,587727221950382609,359.99681631,14.82427221,1739,40,3,302,GALAXY,21.324039000000003,20.780504,20.560570000000002,0.22111599999999998,0.24170300000000003,-1.3712309999999999,-1.5625719999999998,-9.150669,2.704644,1.0896700000000001,5.680927,2.106271,-0.029842
A10,587730774425665704,00:00:02.58,+15:02:28.3,24,0.583,0.042,0.125,0.16699999999999998,0.083,0.0,0.33299999999999996,0.147,0.701,0,0,1,587730774425600934,359.99823787,15.04254026,2566,40,4,308,GALAXY,22.684338,21.177882999999998,20.253099,0.43323999999999996,0.451082,-2.823659,-2.313958,-4.668316,1.06444,0.58928,3.083155,2.187752,-0.077599
A12,588015507658768464,00:00:03.24,-01:06:46.8,57,0.474,0.08800000000000001,0.0,0.263,0.175,0.0,0.35100000000000003,0.324,0.48,0,0,1,588015507658768857,0.00033288,-1.10997713,3325,41,1,108,GALAXY,22.522333,20.838104,20.227543,0.125083,0.167457,-0.708838,-0.6761729999999999,-8.073707,2.261057,1.043359,7.3647100000000005,2.190845,-0.058785000000000004
A13,587727178449485858,00:00:03.33,-10:43:16.0,24,0.125,0.0,0.0,0.875,0.0,0.0,0.875,0.024,0.976,1,0,0,587727178449486603,359.99998264,-10.71853427,1729,40,2,83,GALAXY,24.186111,23.405607,24.826538,0.05,0.5196109999999999,-1.138257,-1.138257,-0.748444,1.299474,1.2902040000000001,-9999.0,-9999.0,0.0016502379999999998
A14,587730773351858407,00:00:03.46,+14:11:53.6,64,0.625,0.016,0.016,0.25,0.078,0.016,0.281,0.245,0.597,0,0,1,587730773351859143,359.99626335,14.19901015,2566,40,2,308,GALAXY,22.454197,22.630817,20.535978,0.221671,0.27115900000000004,-0.045362,-0.03238,-0.721054,3.645912,1.537051,40.676804,1.7572150000000002,0.049779000000000004
A18,587727180596969574,00:00:04.60,-08:56:37.6,30,0.16699999999999998,0.33299999999999996,0.033,0.467,0.0,0.0,0.833,0.075,0.925,1,0,0,587727180596969990,0.00221032,-8.94206832,1729,40,6,83,GALAXY,23.235117000000002,22.136908,21.949009,0.05,0.05,-0.003576132,-0.005504881999999999,-0.014472,1.8116150000000002,1.250528,-234.645096,1.450424,-0.037785
A19,587731187277693072,00:00:04.74,+00:46:54.2,36,0.722,0.083,0.111,0.083,0.0,0.0,0.278,0.606,0.39399999999999996,0,0,1,587731187277628120,0.00136083,0.78243953,2662,40,5,282,GALAXY,23.681173,21.995991,21.576694,0.05,0.097798,-0.316863,-0.35885300000000003,-0.287855,0.8505520000000001,0.60219,5.432404,1.690941,0.033276
A20,587727227300741221,00:00:05.17,-09:13:04.6,66,0.424,0.0,0.03,0.061,0.03,0.455,0.091,0.335,0.133,0,0,1,587727227300741210,0.0030898,-9.22228968,1740,40,5,22,GALAXY,17.870296,17.139402,16.753517000000002,0.48640200000000006,0.531316,-34.642078000000005,-205.182571,-4569.33789,5.956697,2.561271,42.203449,2.362853,1.649344
A22,587727221413511423,00:00:05.70,+14:24:44.8,56,0.321,0.036000000000000004,0.33899999999999997,0.14300000000000002,0.125,0.036000000000000004,0.518,0.069,0.721,0,0,1,587727221413512228,0.00044975,14.40728788,1739,40,2,302,GALAXY,23.096073,22.563766,21.244816,0.2637,0.471074,-0.200757,-0.152411,-0.6178739999999999,1.9295849999999999,0.699182,3.5210559999999997,2.1728490000000003,-0.054594000000000004
A23,587730775499407519,00:00:06.11,+15:52:31.4,58,0.828,0.017,0.0,0.086,0.069,0.0,0.10300000000000001,0.556,0.326,0,0,1,587730775499407809,0.00312169,15.87247916,2566,40,6,309,GALAXY,21.786594,20.996485,21.004898,0.368125,0.255583,-2.453872,-2.822634,-4.0261,3.954826,1.488702,15.490859,2.134024,-0.078194
A24,588015509806252152,00:00:06.67,+00:30:16.8,38,0.711,0.0,0.0,0.132,0.158,0.0,0.132,0.612,0.21600000000000003,0,0,1,588015509806252415,0.00315504,0.50729367,3325,41,5,108,GALAXY,19.952291,19.154903,18.839991,0.579858,0.645437,-0.143282,-5.351634,-165.42700200000002,3.545689,1.7158830000000003,23.745188,2.162145,-0.014263999999999999
A26,588015510343123099,00:00:07.12,+00:51:28.5,47,0.7659999999999999,0.021,0.043,0.149,0.021,0.0,0.213,0.602,0.373,0,0,1,588015510343123540,0.00478126,0.85961493,3325,41,6,108,GALAXY,22.298864000000002,21.62557,21.381795999999998,0.164963,0.21358400000000002,-0.006462626,-0.0048339920000000005,-0.008706407,2.43919,0.978347,12.471647,2.513236,-0.037724
A27,587727220876640496,00:00:07.35,+13:54:36.6,24,0.833,0.0,0.0,0.125,0.042,0.0,0.125,0.645,0.301,0,0,1,587727220876640870,0.00329999,13.91097779,1739,40,1,302,GALAXY,22.455755,22.649881,21.667046,0.05,0.05,-0.667463,-0.670664,-0.615375,0.956391,0.48733699999999996,5.246874,2.107924,0.026242
