Name,objID,ra,dec,run,rerun,camcol,field,type,dered_g,dered_r,dered_i,deVAB_i,expAB_i,lnLExp_i,lnLDeV_i,lnLStar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
A7000,587731185130537762,0.7622888,-0.8764206,2662,40,1,288,GALAXY,23.382793,23.297365,21.596626,0.439946,0.551032,-0.91293,-0.892987,-0.652081,1.513223,0.759463,4.333648,2.159151,6.212107E-3
A7001,587727179523556141,0.76431269,-9.92055758,1729,40,4,88,GALAXY,24.163725,22.589399,21.000345,0.05,0.05,-0.442052,-0.252567,-0.34355,4.280706,2.671216,4.63214,1.815991,-0.057073
A7002,587730774962799600,0.76733663,15.41310782,2566,40,5,313,GALAXY,23.556307,22.386501,22.174473,0.082221,0.070936,-0.031068,-0.033937,-0.017953,0.038989,0.022543,-6.031711,-0.304387,3.535225E-3
A7003,587727180060426838,0.76334179,-9.49621868,1729,40,5,88,GALAXY,23.966219,21.545437,21.447409,0.05,0.05,-0.016373,-0.022855,-0.026965,-9999,-9999,7.803875,2.17984,-0.037815
A7004,587727178449813733,0.76582036,-10.6275931,1729,40,2,88,GALAXY,21.606804,21.31122,21.180912,0.084367,0.075734,-1.020306,-1.041727,-0.912004,0.652524,0.446136,4.424218,1.958912,0.0115
A7006,587730774962798858,0.7643198,15.46555861,2566,40,5,313,GALAXY,21.581654,20.839058,20.71624,0.277792,0.4257,-0.017132,-0.139103,-2.179437,1.381215,0.918732,10.563636,1.939998,-0.011109
A7008,587730774425928486,0.76391101,15.05374975,2566,40,4,313,GALAXY,22.254555,20.899275,19.940567,0.91197,0.769583,-0.735646,-0.190737,-10.977137,2.249279,0.959541,4.787003,2.3338,-0.039887
A7009,587731185130472007,0.76119941,-0.84521933,2662,40,1,287,GALAXY,22.285191,21.573122,21.110615,0.30007,0.436445,-4.981947,-5.107147,-4.93171,0.629656,0.435241,3.450794,1.836483,0.034668
A7013,587731185667343403,0.76109283,-0.47067316,2662,40,2,287,GALAXY,23.117907,21.974403,21.169188,0.05,0.091688,-1.823712,-1.753299,-1.581028,2.277308,0.978558,2.303715,2.150026,0.011808
A7014,588015507659096320,0.7631413,-1.08957031,3325,41,1,113,GALAXY,21.879351,21.329344,21.173769,0.055566,0.152064,-0.202499,-0.192685,-0.330541,1.729158,0.805885,7.507537,2.175281,-0.072016
A7015,587731187278021298,0.76624589,0.78741779,2662,40,5,288,GALAXY,23.006735,21.9669,22.025679,0.05,0.05,-0.902763,-0.982042,-1.322224,-9999,-9999,65.640572,1.984751,-0.097506
A7020,587730774425928491,0.76536356,15.1335817,2566,40,4,313,GALAXY,22.84675,21.263586,20.452904,0.05,0.167937,-0.490556,-0.315125,-2.684506,1.702972,0.67338,3.944028,2.129154,-0.064942
A7022,587731186741084789,0.76060824,0.33309408,2662,40,4,287,GALAXY,23.026039,22.93141,22.26659,0.149637,0.05,-0.014347,-0.014659,-4.201169E-3,0.13567,0.099645,2.979934,0.708929,6.130314E-3
A7023,587731185130471725,0.76149086,-0.85347748,2662,40,1,287,GALAXY,23.727272,22.244724,21.915628,0.05,0.05,-0.542317,-0.424352,-0.628353,5.664296,1.330631,12.878745,1.782551,-0.042415
A7024,588015509806580613,0.7614943,0.55682988,3325,41,5,113,GALAXY,24.548515,22.655716,21.569344,0.05,0.05,-0.190171,-0.208125,-0.180175,0.94185,0.538872,2.817749,2.518167,0.020575
A7025,587727179523555992,0.759183,-9.82325598,1729,40,4,88,GALAXY,23.251797,21.778646,21.986958,0.05,0.05,-0.21181,-0.134739,-0.096638,4.414472,3.187685,8.214765,0.484339,7.606379E-3
A7027,587727225690456492,0.76411404,-10.43157275,1740,40,2,27,GALAXY,21.946657,21.39584,21.154251,0.05,0.062267,-0.01742,-0.015673,-0.013463,1.038288,0.540939,3.201444,2.003216,8.292389E-3
A7030,587727180060426561,0.76403668,-9.3735199,1729,40,5,88,GALAXY,21.858328,21.099638,21.007088,0.400237,0.380933,-8.305624E-4,-7.596469E-4,-0.074466,2.533273,1.246222,13.092602,2.060241,-0.021989
A7031,587727225153585833,0.76718821,-10.88625974,1740,40,1,27,GALAXY,22.65382,21.469589,21.191599,0.05,0.05,-1.406022,-1.368698,-1.21367,-9999,-9999,6.068098,2.305625,0.016182
A7032,587727226227327812,0.7628727,-10.16563275,1740,40,3,27,GALAXY,22.169195,23.446117,22.010105,0.05,0.05,-0.217198,-0.242885,-0.539568,3.248235,2.518178,16.119112,0.38547,0.024424
A7033,587727226764198358,0.76294015,-9.5628169,1740,40,4,27,GALAXY,22.539433,21.910034,22.015387,0.399918,0.571986,-0.176414,-0.215581,-0.180518,0.713131,0.504038,5.747439,1.81034,-0.072623
A7034,587730775499735267,0.76287466,15.92706858,2566,40,6,314,GALAXY,23.50227,21.571278,21.198133,0.05,0.05,-0.049887,-0.041859,-0.153886,1.268904,0.593186,4.849776,2.284619,-0.043338
A7036,587731187278020920,0.76650721,0.6990345,2662,40,5,288,GALAXY,21.745668,21.051907,20.660652,0.390883,0.507904,-2.86296E-4,-8.122089E-4,-0.158908,1.779643,1.006595,9.713001,1.953248,-0.017315
A7038,587727220876968495,0.76408997,14.0374923,1739,40,1,307,GALAXY,22.218933,21.609396,21.80295,0.05,0.05,-1.203675,-1.472405,-1.576583,0.618233,0.432993,-9999,-9999,-0.087788
A7039,587727225690456122,0.76536282,-10.50645717,1740,40,2,27,GALAXY,23.78639,22.127142,22.316793,0.530854,0.649963,-1.57116E-3,-5.734921E-3,-0.153438,2.303637,1.288066,8.99125,0.989029,-0.024435
A7041,587727221413839218,0.76400303,14.37808701,1739,40,2,307,GALAXY,22.709478,22.090555,23.791384,0.05,0.05,-4.077572E-3,-4.861988E-3,-2.004213E-3,-9999,-9999,-1.515821,0.161333,9.657678E-3
